barrier_id,internal_name,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,aggregated_crossings_id,modelled_crossing_id,crossing_source,crossing_feature_type,pscis_status,crossing_type_code,crossing_subtype_code,barrier_status,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,transport_line_structured_name_1,rail_track_name,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,blue_line_key,downstream_route_measure,wscode,localcode,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,ch_spawning_km,ch_rearing_km,ch_spawning_belowupstrbarriers_km,ch_rearing_belowupstrbarriers_km,cm_spawning_km,cm_spawning_belowupstrbarriers_km,co_spawning_km,co_rearing_km,co_rearing_ha,co_spawning_belowupstrbarriers_km,co_rearing_belowupstrbarriers_km,co_rearing_belowupstrbarriers_ha,pk_spawning_km,pk_spawning_belowupstrbarriers_km,sk_spawning_km,sk_rearing_km,sk_rearing_ha,sk_spawning_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_ha,st_spawning_km,st_rearing_km,st_spawning_belowupstrbarriers_km,st_rearing_belowupstrbarriers_km,wct_spawning_km,wct_rearing_km,wct_spawning_belowupstrbarriers_km,wct_rearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,set_id,total_hab_gain_set,num_barriers_set,avg_gain_per_barrier,dnstr_set_ids,rank_avg_gain_per_barrier,rank_avg_gain_tiered,rank_total_upstr_hab,rank_combined,tier_combined,include_in_hac,label_in_hac
1011304083,,Trib to Coldwater River,KVR,None,,,Excluded structure,Barrier assessment,No structure and key upstream habitat,Field assessment,,,,,,,,,,,,,,,,"No structure, no stream",Dry gully near former KVR line. Stream does not exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no
197012,,Midday Creek,spur off Patchett Road,Stream crossing - OBS,,,Excluded structure,Barrier assessment,Passable,,,,,,,,,,,,,,,,,OBS bridge,Newer bridge over Midday Creek access to reserve properties,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title,197012,11301912,PSCIS,"ROAD, RESOURCE/OTHER",ASSESSED,OBS,BRIDGE,PASSABLE,spur off Patchett Road,Midday Creek,Newer bridge over Midday Creek access to reserve properties,2017-10-06,,,,,,,,10,647598,5538134,356341782,1317,100.190442.244975.337574.284252,100.190442.244975.337574.284252,LNIC,Midday Creek,197013,1,,,,,,0,0,0,0,0,0,1.207175272,1.21,0,1.21,1.21,0,0,0,0,0,0,0,0,0,0,1.207175272,0,1.21,0,0,0,0,1.21,1.21,1.21,1.21,1.21,1.21,,,,,,,,,,,no,no
197014,,Midday Creek,Patchett Road,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,Upstream of inaccessible wetland,Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat. Fish population abundant due to stocking in Lily Lake upstream.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200146,197014,11300916,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,CBS,ROUND,BARRIER,Patchett Rd,Midday Creek 120-246600-33700-28800,"Previously assessed on 2017/10/06. Two pipes + overflow. Water at pool outlet rises 40cm at highflows. Rearing habitat is good, OSV/SWD/LWD/ISV. Habitat value diminished by embedded bed material. D=15cm, visible input of fine sediments by presence of stressed dark mosses. Spawning habitat - low due to 30% of fines, gravelly beds in patches. Overwintering habitat - non-observed, fish population abundant due to RB stocking in Lily lake upstream.",2023-06-28,Patchett Rd,,,,,,,10,644595,5541117,356341782,7345,100.190442.244975.337574.284252,100.190442.244975.337574.284252.347953,LNIC,Midday Creek,198881;198882;d0fe7d87-bba1-4edb-b132-01bdeccd7277;197013,4,,,2.25417E+13,2.25417E+13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
197032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197032,24713771,PSCIS,"ROAD, RESOURCE/OTHER",ASSESSED,OBS,BRIDGE,PASSABLE,Spius Creek FSR,Trib to to Spius Creek,Not mapped or id number provided,2017-10-26,,,,,,,,10,627830,5532787,356334542,80,100.190442.244975.232973.774695,100.190442.244975.232973.774695,LNIC,,,0,,,,,,0,0,0,0,0,0,0.062058995,0.06,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0.915194412,0,0.92,0,0,0,0,0.06,0.06,0.98,0.98,0.98,0.98,,,,,,,,,,,no,no
197036,,Midday Creek,Lily Lake Road,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,Upstream of inaccessible wetland. ,Crossing scores as barrier but contains rearing habitat suitable for Rainbow Trout only. Overwintering habitat in outlet pool only. Rainbow Trout present upstream and downstream of crossing.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200147,197036,11301822,PSCIS,"ROAD, RESOURCE/OTHER",ASSESSED,CBS,ROUND,BARRIER,Lily Lake Road,Midday Creek 120-246600-33700-28800,Previously assessed on 2018/10/18. Overall good rearing habitat for RB. No spawning habitat observed. Overwintering habitat only in outlet pool. Approximately 20 juvenile RB observed upstream and downstream of CV.,2023-06-29,,,,,,,,10,646307,5542821,356341782,10138,100.190442.244975.337574.284252,100.190442.244975.337574.284252.518268,LNIC,Midday Creek,197014;198881;198882;d0fe7d87-bba1-4edb-b132-01bdeccd7277;197013,5,,,2.25417E+13,2.25417E+13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
197037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197037,11300130,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,OBS,BRIDGE,PASSABLE,Coldwater Road,Voght Creek,Major bridge.  KVR downstream passable,2017-10-26,Kingsvale No 1 Bridge,,,,,,,10,649859,5530364,356345496,317,100.190442.244975.337574.397497,100.190442.244975.337574.397497,LNIC,Voght Creek,,0,,,,,,0,0,0,0,0,0,0.28359392,0.28,0,0.28,0.28,0,0.28359392,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,,,,,,,,,,,no,no
197039,,Kwinshatin Creek,Coldwater Road,Stream crossing - CBS,,,Excluded structure,Habitat confirmation,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,"No suitable spawning habitat for salmon, excellent rearing habitat but too steep to access from Coldwater River.",Opportunistic Rainbow Trout spawning habitat present and 70 mm-200 mm Rainbow Trout common in stream. Possible RB/CT hybrid also present. Culvert is curved in middle and undersized.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198909,197039,11300400,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,CBS,ROUND,BARRIER,Coldwater Rd,Kwinshatin C. 120-24600-33700-18300,"Fish habitat confirmation done in year 2021/08/11. The culvert is bowed 1/3 way from upstream side, after 14m from outlet bends upwards. Culvert curves at bow. Rearing habitat - good, diverse cover composed of overstream vegitation, deep pools, small woody debris, bolders and undercut banks. Spawning habitat - only two suitable gravel pockets observed ~1 sq.m each and 20% of fines (opportunistic use for RB). No overwintering habitat observed. Walked stream ~60m upstream. No suitable habitat for salmon - stream is too steep.",2023-06-24,Coldwater Rd,,,,,,,10,653352,5544448,356348664,503,100.190442.244975.337574.178289,100.190442.244975.337574.178289,LNIC,Kwinshatin Creek,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.181578144,0,2.18,0,0,0,0,0,0,2.18,2.18,2.18,2.18,,,,,,,,,,,no,no
197040,,Kwinshatin Creek,spur off 500th ave,Stream crossing - Ford,,,Excluded structure,Barrier assessment,Passable,Field assessment,,,,,,,,,,,,,,,,,ford crossing within Coldwater IR,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title,197040,,PSCIS,"ROAD, RESOURCE/OTHER",ASSESSED,OTHER,FORD,PASSABLE,spur off 500th ave,Kwinshatin Creek,ford crossing within Coldwater IR,2017-11-10,,,,,,,,10,653478,5544296,356348664,707,100.190442.244975.337574.178289,100.190442.244975.337574.178289,LNIC,Kwinshatin Creek,197039,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.977578144,0,1.98,0,0,0,0,0,0,1.98,1.98,1.98,1.98,,,,,,,,,,,no,no
197042,Godey Creek at Sunnyview Street,Godey Creek,Sunnyview Street,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,,,,,,,,,,,,,,,,,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title,197042,11300021,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,CBS,ROUND,PASSABLE,Sunnyview Street,Godey Creek,stream channelized flows through private propoerty. Stream channel frozen at time of survey,2017-11-10,Sunnyview St,,,,,,,10,659606,5551806,356336173,717,100.190442.244975.337574.043311,100.190442.244975.337574.043311.006132,LNIC,Godey Creek,197041,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
197043,Godey Creek at Coldwater Road,Godey Creek,Coldwater Road,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title,197043,11300440,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,CBS,ROUND,BARRIER,Coldwater Road,Godey Creek,stream flow noted. Note irrigation hose running through culvert.  Flows through IR nd private land downstream,2017-11-10,Coldwater Rd,,,,,,,10,659897,5551771,356336173,1018,100.190442.244975.337574.043311,100.190442.244975.337574.043311.006132,LNIC,Godey Creek,197041,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
197044,Godey Creek at Sterling Road,Godey Creek,Sterling Road,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,,,,,,,,,,,,,,,,,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title,197044,11300554,PSCIS,"ROAD, DEMOGRAPHIC",ASSESSED,CBS,ROUND,BARRIER,,Godey Creek,Flows through IR and thick low gradient area shrouded in willow and red osier.  Low fish habitat value.  Irrigation hose noted through culvert.,2017-11-10,Sterling Rd,,,,,,,10,660038,5551489,356336173,1339,100.190442.244975.337574.043311,100.190442.244975.337574.043311.006132,LNIC,Godey Creek,197043;197041,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
197681,Chataway @ Skuhun-Pimanus FSR,Chataway Creek,Skuhun-Pimanus FSR,Stream crossing - CBS,,,Assessed structure that remains data deficient,Barrier assessment,,,,,Low,,,,,,,,,Non-actionable,,,,Some rearing habitat values upstream but intermittent stream with low priority from a watershed context.,,,197681,11304582,PSCIS,"ROAD, RESOURCE/OTHER",ASSESSED,CBS,OVAL,BARRIER,Chataway FSR,Chataway C. 120-246600-11500-58990,"Stream is dewatered. - 1.5m from culvert inlet 0.5m high x 1m long cascade will create access problems when watered. Weir notch is 1m above concrete base. Lip of concrete base is 0.75m above stream bed. Lower base of trapezoid = 2.3m, length = 1.3m, longer trapezoid base = 4.8m. Stream is dewatered downstream of weir to confluence with tributary 58900-2570 downstream (550m). Spawning habitat - none. Overwintering habitat - none. Rearing habitat - fair - stream is stablized by boulders but negatively affected by low flows/dewatering. No suitable spawning habitat for anadromous fish was observed upstream of the confluence with Skuhun C. and the stream supports only a resident rainbow trout.",2024-09-16,Skuhun FSR,,,,,,,10,647668,5577400,356334818,3698,100.190442.244975.114234.594600,100.190442.244975.114234.594600.260721,LNIC,Chataway Creek,1200000001,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,no,no
