Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Reason For Exclusion,Method Of Exclusion,Reason,Notes,Supporting Links
1011304083,,Trib to Coldwater River,KVR,None,No structure and key upstream habitat,Field assessment,"No structure, no stream",Dry gully near former KVR line. Stream does not exist,
196997,11300768.0,Howarth Creek,Kane Valley Road,Stream crossing - CBS,No key upstream habitat,Local knowledge,Impassable falls downstream,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197617
197012,11301912.0,Midday Creek,spur off Patchett Road,Stream crossing - OBS,Passable,,OBS bridge,Newer bridge over Midday Creek access to reserve properties,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
197014,11300916.0,Midday Creek,Patchett Road,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland,Crossing scores as barrier but contains low quality rearing habitat suitable for Rainbow Trout only. No spawning or overwintering habitat. Fish population abundant due to stocking in Lily Lake upstream.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200146
197036,11301822.0,Midday Creek,Lily Lake Road,Stream crossing - CBS,No key upstream habitat,Field assessment,Upstream of inaccessible wetland. ,Crossing scores as barrier but contains rearing habitat suitable for Rainbow Trout only. Overwintering habitat in outlet pool only. Rainbow Trout present upstream and downstream of crossing.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200147
197039,11300400.0,Kwinshatin Creek,Coldwater Road,Stream crossing - CBS,No key upstream habitat,Field assessment,"No suitable spawning habitat for salmon, excellent rearing habitat but too steep to access from Coldwater River.",Opportunistic Rainbow Trout spawning habitat present and 70 mm-200 mm Rainbow Trout common in stream. Possible RB/CT hybrid also present. Culvert is curved in middle and undersized.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198909
197040,,Kwinshatin Creek,spur off 500th ave,Stream crossing - Ford,Passable,Field assessment,,ford crossing within Coldwater IR,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
197042,11300021.0,Godey Creek,Sunnyview Street,Stream crossing - CBS,No key upstream habitat,,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
197043,11300440.0,Godey Creek,Coldwater Road,Stream crossing - CBS,No key upstream habitat,Field assessment,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
197044,11300554.0,Godey Creek,Sterling Road,Stream crossing - CBS,No key upstream habitat,,,"No habitat upstream of Pooley Ave for anadromous fish. Poor flows, sections of undefined channel, seasonal. ",http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS3200]&searchKeyType=searchAll&sortColumn=title
